,level_max,level_min,occurrences,first_time,last_time
0,3600.0,3600.0,1,2024-06-07 18:04:00,2024-06-07 18:04:00
1,3642.74,3642.74,1,2024-06-10 07:58:00,2024-06-10 07:58:00
2,3650.64,3650.64,1,2024-06-10 20:12:00,2024-06-10 20:12:00
3,3662.96,3660.08,2,2024-06-08 13:30:00,2024-06-10 14:12:00
4,3670.37,3666.36,2,2024-06-08 22:25:00,2024-06-09 02:40:00
5,3677.22,3673.82,3,2024-06-07 23:59:00,2024-06-10 23:07:00
6,3684.66,3680.99,4,2024-06-09 01:33:00,2024-06-10 06:25:00
7,3697.8,3693.51,3,2024-06-08 19:06:00,2024-06-10 02:24:00
8,3702.58,3697.47,3,2024-05-30 08:14:00,2024-06-08 15:00:00
9,3713.67,3709.5,3,2024-06-08 07:52:00,2024-06-10 15:53:00
10,3724.41,3719.3,4,2024-05-30 20:15:00,2024-06-09 21:51:00
11,3730.0,3730.0,1,2024-06-04 00:18:00,2024-06-04 00:18:00
12,3744.41,3741.0,5,2024-05-29 16:05:00,2024-06-04 09:51:00
13,3752.62,3750.75,2,2024-05-30 01:02:00,2024-06-02 18:03:00
14,3761.05,3758.43,3,2024-06-03 00:37:00,2024-06-06 20:01:00
15,3773.9,3768.29,6,2024-05-28 18:51:00,2024-06-07 12:40:00
16,3777.33,3776.2,2,2024-06-04 19:37:00,2024-06-05 05:43:00
17,3782.99,3780.0,4,2024-05-29 08:18:00,2024-06-05 14:15:00
18,3789.7,3785.19,3,2024-06-01 11:59:00,2024-06-04 03:14:00
19,3792.99,3790.21,3,2024-05-29 21:47:00,2024-06-07 02:39:00
20,3801.65,3797.7,3,2024-05-30 04:32:00,2024-06-02 02:48:00
21,3807.67,3803.67,3,2024-06-02 16:04:00,2024-06-07 16:29:00
22,3814.67,3809.55,4,2024-06-01 09:00:00,2024-06-02 11:55:00
23,3815.45,3815.45,1,2024-06-06 23:50:00,2024-06-06 23:50:00
24,3825.35,3820.0,5,2024-05-30 17:36:00,2024-06-06 13:04:00
25,3825.75,3825.75,1,2024-06-07 05:48:00,2024-06-07 05:48:00
26,3833.88,3831.65,2,2024-06-04 17:17:00,2024-06-05 19:11:00
27,3838.83,3835.15,4,2024-05-29 01:35:00,2024-06-06 06:44:00
28,3842.01,3839.92,4,2024-06-03 06:29:00,2024-06-07 12:03:00
29,3849.99,3848.4,3,2024-05-31 12:29:00,2024-06-05 23:27:00
30,3871.76,3866.48,2,2024-05-28 23:02:00,2024-06-06 12:29:00
31,3878.6,3878.6,1,2024-06-06 02:30:00,2024-06-06 02:30:00
32,3888.55,3884.49,3,2024-05-28 14:20:00,2024-06-05 20:00:00
33,3931.09,3931.09,1,2024-05-28 10:16:00,2024-05-28 10:16:00
